targets,raters,0
0,A,18.8
1,A,20.2
2,A,28.1
3,A,17.2
4,A,18.9
5,A,28.6
6,A,21.7
7,A,22.1
8,A,24.8
9,A,25.6
10,A,25.3
11,A,21.1
12,A,10.9
13,A,10.7
14,A,12.2
15,A,16.3
16,A,14.5
17,A,15.5
18,A,23.3
19,A,25.4
20,A,18.2
21,A,13.3
22,A,13.9
23,A,25.1
24,A,11.3
25,A,13
26,A,8.1
27,A,6.6
28,A,20.4
29,A,12.1
0,B,16.2
1,B,23.1
2,B,25.6
3,B,10.7
4,B,15.5
5,B,30.1
6,B,19.9
7,B,26.2
8,B,30.1
9,B,28.2
10,B,20.8
11,B,22.8
12,B,16.3
13,B,15.2
14,B,13.2
15,B,16.9
16,B,18.8
17,B,16.1
18,B,20.9
19,B,23.2
20,B,16.1
21,B,15.1
22,B,13.3
23,B,16.6
24,B,15.1
25,B,8.6
26,B,10.9
27,B,11.5
28,B,22.1
29,B,9.9
